simInsts,hostInstRate,system.cpu.numCycles,system.cpu.exec_context.thread_0.numInsts,system.cpu.exec_context.thread_0.numCondCtrlInsts,system.cpu.exec_context.thread_0.numIntInsts,system.cpu.exec_context.thread_0.numFpInsts,system.cpu.exec_context.thread_0.numVecInsts,system.cpu.exec_context.thread_0.numLoadInsts,system.cpu.exec_context.thread_0.numStoreInsts,system.cpu.exec_context.thread_0.statExecutedInstType::No_OpClass,system.cpu.exec_context.thread_0.statExecutedInstType::IntAlu,system.cpu.exec_context.thread_0.statExecutedInstType::IntMult,system.cpu.exec_context.thread_0.statExecutedInstType::IntDiv,system.cpu.exec_context.thread_0.statExecutedInstType::FloatAdd,system.cpu.exec_context.thread_0.statExecutedInstType::FloatCmp,system.cpu.exec_context.thread_0.statExecutedInstType::FloatCvt,system.cpu.exec_context.thread_0.statExecutedInstType::FloatMult,system.cpu.exec_context.thread_0.statExecutedInstType::FloatMultAcc,system.cpu.exec_context.thread_0.statExecutedInstType::FloatDiv,system.cpu.exec_context.thread_0.statExecutedInstType::FloatMisc,system.cpu.exec_context.thread_0.statExecutedInstType::FloatSqrt,system.cpu.exec_context.thread_0.statExecutedInstType::SimdAdd,system.cpu.exec_context.thread_0.statExecutedInstType::SimdAddAcc,system.cpu.exec_context.thread_0.statExecutedInstType::SimdAlu,system.cpu.exec_context.thread_0.statExecutedInstType::SimdCmp,system.cpu.exec_context.thread_0.statExecutedInstType::SimdCvt,system.cpu.exec_context.thread_0.statExecutedInstType::SimdMisc,system.cpu.exec_context.thread_0.statExecutedInstType::SimdMult,system.cpu.exec_context.thread_0.statExecutedInstType::SimdMultAcc,system.cpu.exec_context.thread_0.statExecutedInstType::SimdShift,system.cpu.exec_context.thread_0.statExecutedInstType::SimdShiftAcc,system.cpu.exec_context.thread_0.statExecutedInstType::SimdDiv,system.cpu.exec_context.thread_0.statExecutedInstType::SimdSqrt,system.cpu.exec_context.thread_0.statExecutedInstType::SimdFloatAdd,system.cpu.exec_context.thread_0.statExecutedInstType::SimdFloatAlu,system.cpu.exec_context.thread_0.statExecutedInstType::SimdFloatCmp,system.cpu.exec_context.thread_0.statExecutedInstType::SimdFloatCvt,system.cpu.exec_context.thread_0.statExecutedInstType::SimdFloatDiv,system.cpu.exec_context.thread_0.statExecutedInstType::SimdFloatMisc,system.cpu.exec_context.thread_0.statExecutedInstType::SimdFloatMult,system.cpu.exec_context.thread_0.statExecutedInstType::SimdFloatMultAcc,system.cpu.exec_context.thread_0.statExecutedInstType::SimdFloatSqrt,system.cpu.exec_context.thread_0.statExecutedInstType::SimdReduceAdd,system.cpu.exec_context.thread_0.statExecutedInstType::SimdReduceAlu,system.cpu.exec_context.thread_0.statExecutedInstType::SimdReduceCmp,system.cpu.exec_context.thread_0.statExecutedInstType::SimdFloatReduceAdd,system.cpu.exec_context.thread_0.statExecutedInstType::SimdFloatReduceCmp,system.cpu.exec_context.thread_0.statExecutedInstType::SimdAes,system.cpu.exec_context.thread_0.statExecutedInstType::SimdAesMix,system.cpu.exec_context.thread_0.statExecutedInstType::SimdSha1Hash,system.cpu.exec_context.thread_0.statExecutedInstType::SimdSha1Hash2,system.cpu.exec_context.thread_0.statExecutedInstType::SimdSha256Hash,system.cpu.exec_context.thread_0.statExecutedInstType::SimdSha256Hash2,system.cpu.exec_context.thread_0.statExecutedInstType::SimdShaSigma2,system.cpu.exec_context.thread_0.statExecutedInstType::SimdShaSigma3,system.cpu.exec_context.thread_0.statExecutedInstType::SimdPredAlu,system.cpu.exec_context.thread_0.statExecutedInstType::MemRead,system.cpu.exec_context.thread_0.statExecutedInstType::MemWrite,system.cpu.exec_context.thread_0.statExecutedInstType::FloatMemRead,system.cpu.exec_context.thread_0.statExecutedInstType::FloatMemWrite,system.cpu.exec_context.thread_0.statExecutedInstType::IprAccess,system.cpu.exec_context.thread_0.statExecutedInstType::InstPrefetch,system.cpu.exec_context.thread_0.statExecutedInstType::total,system.cpu.mmu.dtb.rdMisses,system.cpu.mmu.dtb.wrMisses,system.cpu.mmu.itb.rdMisses,system.cpu.mmu.itb.wrMisses,system.cpu.thread_0.numInsts,system.mem_ctrl.avgPriority_cpu.inst::samples,system.mem_ctrl.requestorReadBytes::cpu.inst,system.mem_ctrl.requestorReadRate::cpu.inst,system.mem_ctrl.requestorReadAccesses::cpu.inst,system.mem_ctrl.requestorReadTotalLat::cpu.inst,system.mem_ctrl.requestorReadAvgLat::cpu.inst,system.workload.inst.arm,system.workload.inst.quiesce,data_mpki,inst_mpki,IPC
354833451.0,213089.0,29529224986.0,354833451.0,45301482.0,585997522.0,89588243.0,0.0,89295655.0,40722348.0,5286503.0,439944464.0,59020.0,712204.0,453096.0,0.0,1840.0,0.0,0.0,0.0,0.0,0.0,240024.0,0.0,31180904.0,11892.0,947854.0,16493466.0,0.0,0.0,0.0,0.0,0.0,0.0,7680000.0,0.0,0.0,23330000.0,0.0,0.0,7680417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87943224.0,40556543.0,1352431.0,165805.0,0.0,0.0,664039687.0,1643.0,104.0,0.0,466.0,0.0,461420872.0,3691366976.0,125007242.07120578,461420872.0,10004690118500.0,21682.35,0.0,0.0,1643000.0002930954,0.001313292190143595,0.012016348250529057
355102882.0,209240.0,29512765540.0,355102882.0,45479648.0,586556037.0,89586947.0,0.0,89262779.0,40707441.0,5285506.0,440551253.0,58456.0,712433.0,453046.0,0.0,1840.0,0.0,0.0,0.0,0.0,0.0,240024.0,0.0,31180992.0,11790.0,947472.0,16493088.0,0.0,0.0,0.0,0.0,0.0,0.0,7680000.0,0.0,0.0,23330000.0,0.0,0.0,7680407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87910750.0,40541686.0,1352029.0,165755.0,0.0,0.0,664596527.0,1642.0,104.0,0.0,464.0,0.0,461647121.0,3693176968.0,125138288.48043633,461647121.0,10013234042250.0,21690.23,0.0,0.0,1642000.000292873,0.0013066635713759147,0.012032179143588317
354704689.0,210896.0,29497396662.0,354704689.0,45279844.0,585760181.0,89587267.0,0.0,89264052.0,40708073.0,5285864.0,439755292.0,58571.0,709937.0,453054.0,0.0,1840.0,0.0,0.0,0.0,0.0,0.0,240024.0,0.0,31181004.0,11802.0,947560.0,16493188.0,0.0,0.0,0.0,0.0,0.0,0.0,7680000.0,0.0,0.0,23330000.0,0.0,0.0,7680408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87911933.0,40542313.0,1352119.0,165760.0,0.0,0.0,663800669.0,1640.0,104.0,0.0,466.0,0.0,461247732.0,3689981856.0,125095170.20373586,461247732.0,10002505571500.0,21685.76,0.0,0.0,1640000.0002932015,0.0013137689307512932,0.012024948949374507
354705624.0,209614.0,29528568176.0,354705624.0,45278368.0,585760958.0,89587943.0,0.0,89266035.0,40709042.0,5285478.0,439752266.0,58801.0,710412.0,453096.0,0.0,1840.0,0.0,0.0,0.0,0.0,0.0,240024.0,0.0,31181048.0,11982.0,947702.0,16493232.0,0.0,0.0,0.0,0.0,0.0,0.0,7680000.0,0.0,0.0,23330000.0,0.0,0.0,7680418.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87913754.0,40543232.0,1352281.0,165810.0,0.0,0.0,663801376.0,1640.0,104.0,0.0,464.0,0.0,461247100.0,3689976800.0,124962943.61468941,461247100.0,10005091896000.0,21691.39,0.0,0.0,1640000.0002932008,0.0013081269892692765,0.012012286606171946
354764579.0,213820.0,29531965152.0,354764579.0,45289662.0,585874079.0,89588094.0,0.0,89279437.0,40716034.0,5286694.0,439843299.0,58724.0,713025.0,453119.0,0.0,1840.0,0.0,0.0,0.0,0.0,0.0,240024.0,0.0,31180960.0,11928.0,947742.0,16493387.0,0.0,0.0,0.0,0.0,0.0,0.0,7680000.0,0.0,0.0,23330000.0,0.0,0.0,7680421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87927110.0,40550209.0,1352327.0,165825.0,0.0,0.0,663916634.0,1641.0,104.0,0.0,464.0,0.0,461327495.0,3690619960.0,124970347.92654356,461327495.0,10005437506750.0,21688.36,0.0,0.0,1641000.0002931522,0.0013079096039066516,0.01201290117924896
354653842.0,209581.0,29493491512.0,354653842.0,45269319.0,585664972.0,89586581.0,0.0,89252406.0,40702907.0,5285523.0,439677131.0,58504.0,709756.0,453050.0,0.0,1840.0,0.0,0.0,0.0,0.0,0.0,240024.0,0.0,31181060.0,11724.0,947334.0,16492984.0,0.0,0.0,0.0,0.0,0.0,0.0,7680000.0,0.0,0.0,23330000.0,0.0,0.0,7680408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87900513.0,40537147.0,1351893.0,165760.0,0.0,0.0,663704651.0,1640.0,104.0,0.0,464.0,0.0,461177293.0,3689418344.0,125092627.38522798,461177293.0,10002734550750.0,21689.56,0.0,0.0,1640000.0002932437,0.001308317985174964,0.012024817131457704
354722578.0,209590.0,29498983124.0,354722578.0,45283541.0,585795121.0,89587946.0,0.0,89269383.0,40709461.0,5285743.0,439781637.0,58492.0,712312.0,453019.0,0.0,1840.0,0.0,0.0,0.0,0.0,0.0,240024.0,0.0,31180984.0,12060.0,947812.0,16493223.0,0.0,0.0,0.0,0.0,0.0,0.0,7680000.0,0.0,0.0,23330000.0,0.0,0.0,7680401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87917026.0,40543736.0,1352357.0,165725.0,0.0,0.0,663836391.0,1640.0,104.0,0.0,466.0,0.0,461273228.0,3690185824.0,125095356.96495624,461273228.0,10004375703500.0,21688.61,0.0,0.0,1640000.0002931869,0.0013137026761234239,0.012024908672577333
355073047.0,210916.0,29509415821.0,355073047.0,45473849.0,586505686.0,89587279.0,0.0,89258235.0,40705405.0,5285879.0,440508492.0,58430.0,710941.0,453026.0,0.0,1840.0,0.0,0.0,0.0,0.0,0.0,240024.0,0.0,31181048.0,11850.0,947588.0,16493128.0,0.0,0.0,0.0,0.0,0.0,0.0,7680000.0,0.0,0.0,23330000.0,0.0,0.0,7680403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87906098.0,40539670.0,1352137.0,165735.0,0.0,0.0,664546289.0,1644.0,104.0,0.0,464.0,0.0,461604351.0,3692834808.0,125140898.43052877,461604351.0,10012639728500.0,21690.96,0.0,0.0,1644000.0002928975,0.0013067733637354907,0.01203253392591109
354664994.0,208260.0,29532900229.0,354664994.0,45272136.0,585685765.0,89588091.0,0.0,89255180.0,40705617.0,5286124.0,439691446.0,58606.0,710828.0,453174.0,0.0,1840.0,0.0,0.0,0.0,0.0,0.0,240024.0,0.0,31181052.0,11952.0,947640.0,16493314.0,0.0,0.0,0.0,0.0,0.0,0.0,7680000.0,0.0,0.0,23330000.0,0.0,0.0,7680433.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87902931.0,40539732.0,1352249.0,165885.0,0.0,0.0,663727230.0,1642.0,104.0,0.0,464.0,0.0,461195126.0,3689561008.0,124930534.40030974,461195126.0,10006368465250.0,21696.6,0.0,0.0,1642000.0002932346,0.0013082768467417452,0.012009148822157829
354697190.0,206777.0,29505579076.0,354697190.0,45276571.0,585739892.0,89588306.0,0.0,89262796.0,40708493.0,5285706.0,439736379.0,59025.0,708526.0,453223.0,0.0,1840.0,0.0,0.0,0.0,0.0,0.0,240024.0,0.0,31181064.0,11958.0,947638.0,16493377.0,0.0,0.0,0.0,0.0,0.0,0.0,7680000.0,0.0,0.0,23330000.0,0.0,0.0,7680443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87910529.0,40542558.0,1352267.0,165935.0,0.0,0.0,663780492.0,1640.0,104.0,0.0,466.0,0.0,461237187.0,3689897496.0,125057620.00114015,461237187.0,10004000068000.0,21689.49,0.0,0.0,1640000.0002932078,0.0013137967064244293,0.0120213600650364
